,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
72,192.168.144.1,192.168.159.238,17,DNS,220,73,2024-03-27 02:43:31.719246,1711503811.719245600,53,51169,www.bbc.co.uk,www.bbc.co.uk,1,0x0001,1,3,0,,,,,,
73,192.168.144.1,192.168.159.238,17,DNS,186,74,2024-03-27 02:43:31.719653,1711503811.719653000,53,51169,www.bbc.co.uk,www.bbc.co.uk,28,0x0001,1,2,0,,,,,,
74,192.168.159.238,146.75.52.81,6,TCP,74,75,2024-03-27 02:43:31.719880,1711503811.719879600,,,,,,,,,,35708,443,0x0002,0,0,
75,146.75.52.81,192.168.159.238,6,TCP,66,76,2024-03-27 02:43:31.752278,1711503811.752277700,,,,,,,,,,443,35708,0x0012,0,1,
76,192.168.159.238,146.75.52.81,6,TCP,54,77,2024-03-27 02:43:31.752324,1711503811.752324400,,,,,,,,,,35708,443,0x0010,1,1,
77,192.168.159.238,146.75.52.81,6,TLS,571,78,2024-03-27 02:43:31.805345,1711503811.805344800,,,,,,,,,,35708,443,0x0018,1,1,TLS_Packet_Captured
78,146.75.52.81,192.168.159.238,6,TLS,1394,79,2024-03-27 02:43:31.866621,1711503811.866621300,,,,,,,,,,443,35708,0x0010,1,518,TLS_Packet_Captured
79,146.75.52.81,192.168.159.238,6,TCP,54,80,2024-03-27 02:43:31.866621,1711503811.866621400,,,,,,,,,,443,35708,0x0010,1,518,
80,192.168.159.238,146.75.52.81,6,TCP,54,81,2024-03-27 02:43:31.866664,1711503811.866664500,,,,,,,,,,35708,443,0x0010,518,1341,
81,192.168.159.238,146.75.52.81,6,TCP,54,82,2024-03-27 02:43:31.866670,1711503811.866669600,,,,,,,,,,35708,443,0x0010,518,1341,
82,146.75.52.81,192.168.159.238,6,TCP,1394,83,2024-03-27 02:43:31.867325,1711503811.867324600,,,,,,,,,,443,35708,0x0018,1341,518,
83,146.75.52.81,192.168.159.238,6,TLS,2230,84,2024-03-27 02:43:31.867325,1711503811.867324600,,,,,,,,,,443,35708,0x0018,2681,518,TLS_Packet_Captured
84,192.168.159.238,146.75.52.81,6,TCP,54,85,2024-03-27 02:43:31.867331,1711503811.867331100,,,,,,,,,,35708,443,0x0010,518,2681,
85,192.168.159.238,146.75.52.81,6,TCP,54,86,2024-03-27 02:43:31.867352,1711503811.867352200,,,,,,,,,,35708,443,0x0010,518,4857,
86,192.168.159.238,146.75.52.81,6,TLS,118,87,2024-03-27 02:43:31.869194,1711503811.869193600,,,,,,,,,,35708,443,0x0018,518,4857,TLS_Packet_Captured
87,192.168.159.238,146.75.52.81,6,TLS,220,88,2024-03-27 02:43:31.869371,1711503811.869370800,,,,,,,,,,35708,443,0x0018,582,4857,TLS_Packet_Captured
88,146.75.52.81,192.168.159.238,6,TCP,54,89,2024-03-27 02:43:31.912391,1711503811.912390600,,,,,,,,,,443,35708,0x0010,4857,582,
89,146.75.52.81,192.168.159.238,6,TLS,2734,90,2024-03-27 02:43:31.919897,1711503811.919896700,,,,,,,,,,443,35708,0x0018,4857,748,TLS_Packet_Captured
90,146.75.52.81,192.168.159.238,6,TLS,2734,91,2024-03-27 02:43:31.919897,1711503811.919896900,,,,,,,,,,443,35708,0x0018,7537,748,TLS_Packet_Captured
91,146.75.52.81,192.168.159.238,6,TLS,2734,92,2024-03-27 02:43:31.919897,1711503811.919896900,,,,,,,,,,443,35708,0x0018,10217,748,TLS_Packet_Captured
92,146.75.52.81,192.168.159.238,6,TLS,1394,93,2024-03-27 02:43:31.919897,1711503811.919896900,,,,,,,,,,443,35708,0x0010,12897,748,TLS_Packet_Captured
93,192.168.159.238,146.75.52.81,6,TCP,54,94,2024-03-27 02:43:31.919962,1711503811.919962500,,,,,,,,,,35708,443,0x0010,748,7537,
94,192.168.159.238,146.75.52.81,6,TCP,54,95,2024-03-27 02:43:31.919968,1711503811.919968200,,,,,,,,,,35708,443,0x0010,748,10217,
95,192.168.159.238,146.75.52.81,6,TCP,54,96,2024-03-27 02:43:31.919971,1711503811.919971000,,,,,,,,,,35708,443,0x0010,748,12897,
96,192.168.159.238,146.75.52.81,6,TCP,54,97,2024-03-27 02:43:31.919972,1711503811.919972500,,,,,,,,,,35708,443,0x0010,748,14237,
97,146.75.52.81,192.168.159.238,6,TCP,54,98,2024-03-27 02:43:31.922045,1711503811.922044400,,,,,,,,,,443,35708,0x0010,4857,748,
98,146.75.52.81,192.168.159.238,6,TCP,1394,99,2024-03-27 02:43:31.922648,1711503811.922647900,,,,,,,,,,443,35708,0x0018,14237,748,
99,146.75.52.81,192.168.159.238,6,TLS,2734,100,2024-03-27 02:43:31.922648,1711503811.922647900,,,,,,,,,,443,35708,0x0018,15577,748,TLS_Packet_Captured
100,192.168.159.238,146.75.52.81,6,TCP,54,101,2024-03-27 02:43:31.922657,1711503811.922656800,,,,,,,,,,35708,443,0x0010,748,15577,
101,192.168.159.238,146.75.52.81,6,TCP,54,102,2024-03-27 02:43:31.922681,1711503811.922680600,,,,,,,,,,35708,443,0x0010,748,18257,
102,146.75.52.81,192.168.159.238,6,TLS,2734,103,2024-03-27 02:43:31.922978,1711503811.922977600,,,,,,,,,,443,35708,0x0018,18257,748,TLS_Packet_Captured
103,146.75.52.81,192.168.159.238,6,TLS,1394,104,2024-03-27 02:43:31.922978,1711503811.922977700,,,,,,,,,,443,35708,0x0010,20937,748,TLS_Packet_Captured
104,192.168.159.238,146.75.52.81,6,TCP,54,105,2024-03-27 02:43:31.922984,1711503811.922983800,,,,,,,,,,35708,443,0x0010,748,20937,
105,192.168.159.238,146.75.52.81,6,TCP,54,106,2024-03-27 02:43:31.923004,1711503811.923004000,,,,,,,,,,35708,443,0x0010,748,22277,
106,146.75.52.81,192.168.159.238,6,TLS,1394,107,2024-03-27 02:43:31.929385,1711503811.929385000,,,,,,,,,,443,35708,0x0018,22277,748,TLS_Packet_Captured
107,146.75.52.81,192.168.159.238,6,TLS,1394,108,2024-03-27 02:43:31.929385,1711503811.929385100,,,,,,,,,,443,35708,0x0010,23617,748,TLS_Packet_Captured
108,192.168.159.238,146.75.52.81,6,TCP,54,109,2024-03-27 02:43:31.929425,1711503811.929425500,,,,,,,,,,35708,443,0x0010,748,23617,
109,192.168.159.238,146.75.52.81,6,TCP,54,110,2024-03-27 02:43:31.929467,1711503811.929466700,,,,,,,,,,35708,443,0x0010,748,24957,
110,146.75.52.81,192.168.159.238,6,TLS,1394,111,2024-03-27 02:43:31.929772,1711503811.929772400,,,,,,,,,,443,35708,0x0018,24957,748,TLS_Packet_Captured
111,146.75.52.81,192.168.159.238,6,TLS,2734,112,2024-03-27 02:43:31.929773,1711503811.929772500,,,,,,,,,,443,35708,0x0018,26297,748,TLS_Packet_Captured
112,146.75.52.81,192.168.159.238,6,TLS,1394,113,2024-03-27 02:43:31.929773,1711503811.929772500,,,,,,,,,,443,35708,0x0010,28977,748,TLS_Packet_Captured
113,192.168.159.238,146.75.52.81,6,TCP,54,114,2024-03-27 02:43:31.929862,1711503811.929861900,,,,,,,,,,35708,443,0x0010,748,30317,
114,146.75.52.81,192.168.159.238,6,TLS,1394,115,2024-03-27 02:43:31.934030,1711503811.934030400,,,,,,,,,,443,35708,0x0018,30317,748,TLS_Packet_Captured
115,146.75.52.81,192.168.159.238,6,TLS,2734,116,2024-03-27 02:43:31.934031,1711503811.934030600,,,,,,,,,,443,35708,0x0018,31657,748,TLS_Packet_Captured
116,192.168.159.238,146.75.52.81,6,TCP,54,117,2024-03-27 02:43:31.934084,1711503811.934084300,,,,,,,,,,35708,443,0x0010,748,34337,
117,146.75.52.81,192.168.159.238,6,TLS,2734,118,2024-03-27 02:43:31.939724,1711503811.939723900,,,,,,,,,,443,35708,0x0018,34337,748,TLS_Packet_Captured
118,192.168.159.238,146.75.52.81,6,TCP,54,119,2024-03-27 02:43:31.939738,1711503811.939737700,,,,,,,,,,35708,443,0x0010,748,37017,
119,146.75.52.81,192.168.159.238,6,TLS,2734,120,2024-03-27 02:43:31.940054,1711503811.940054300,,,,,,,,,,443,35708,0x0018,37017,748,TLS_Packet_Captured
120,146.75.52.81,192.168.159.238,6,TLS,1394,121,2024-03-27 02:43:31.940054,1711503811.940054400,,,,,,,,,,443,35708,0x0010,39697,748,TLS_Packet_Captured
121,192.168.159.238,146.75.52.81,6,TCP,54,122,2024-03-27 02:43:31.940068,1711503811.940067500,,,,,,,,,,35708,443,0x0010,748,39697,
122,146.75.52.81,192.168.159.238,6,TLS,1394,123,2024-03-27 02:43:31.940693,1711503811.940693400,,,,,,,,,,443,35708,0x0018,41037,748,TLS_Packet_Captured
123,146.75.52.81,192.168.159.238,6,TLS,4074,124,2024-03-27 02:43:31.940693,1711503811.940693400,,,,,,,,,,443,35708,0x0018,42377,748,TLS_Packet_Captured
124,146.75.52.81,192.168.159.238,6,TLS,1394,125,2024-03-27 02:43:31.940694,1711503811.940693500,,,,,,,,,,443,35708,0x0010,46397,748,TLS_Packet_Captured
