,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
55,192.168.159.238,146.75.53.164,6,TCP,54,56,2024-03-27 02:47:31.673881,1711504051.673881300,,,,,,,,,,60366,443,0x0010,786,49302,
56,146.75.53.164,192.168.159.238,6,TCP,2734,57,2024-03-27 02:47:31.674291,1711504051.674291300,,,,,,,,,,443,60366,0x0018,49302,786,
57,146.75.53.164,192.168.159.238,6,TLS,4074,58,2024-03-27 02:47:31.674291,1711504051.674291400,,,,,,,,,,443,60366,0x0018,51982,786,TLS_Packet_Captured
58,146.75.53.164,192.168.159.238,6,TCP,4074,59,2024-03-27 02:47:31.674292,1711504051.674291500,,,,,,,,,,443,60366,0x0018,56002,786,
59,192.168.159.238,146.75.53.164,6,TCP,54,60,2024-03-27 02:47:31.674307,1711504051.674306800,,,,,,,,,,60366,443,0x0010,786,51982,
60,146.75.53.164,192.168.159.238,6,TCP,1394,61,2024-03-27 02:47:31.674344,1711504051.674344300,,,,,,,,,,443,60366,0x0010,60022,786,
61,192.168.159.238,146.75.53.164,6,TCP,54,62,2024-03-27 02:47:31.674382,1711504051.674382400,,,,,,,,,,60366,443,0x0010,786,61362,
62,146.75.53.164,192.168.159.238,6,TCP,2734,63,2024-03-27 02:47:31.674887,1711504051.674887300,,,,,,,,,,443,60366,0x0018,61362,786,
63,146.75.53.164,192.168.159.238,6,TCP,4074,64,2024-03-27 02:47:31.674887,1711504051.674887400,,,,,,,,,,443,60366,0x0018,64042,786,
64,146.75.53.164,192.168.159.238,6,TLS,4074,65,2024-03-27 02:47:31.674887,1711504051.674887400,,,,,,,,,,443,60366,0x0010,68062,786,TLS_Packet_Captured
65,192.168.159.238,146.75.53.164,6,TCP,54,66,2024-03-27 02:47:31.674898,1711504051.674898200,,,,,,,,,,60366,443,0x0010,786,64042,
66,192.168.159.238,146.75.53.164,6,TCP,54,67,2024-03-27 02:47:31.674965,1711504051.674965300,,,,,,,,,,60366,443,0x0010,786,72082,
67,146.75.53.164,192.168.159.238,6,TCP,1394,68,2024-03-27 02:47:31.679669,1711504051.679669200,,,,,,,,,,443,60366,0x0018,72082,786,
68,146.75.53.164,192.168.159.238,6,TCP,5414,69,2024-03-27 02:47:31.679669,1711504051.679669400,,,,,,,,,,443,60366,0x0018,73422,786,
69,146.75.53.164,192.168.159.238,6,TCP,5414,70,2024-03-27 02:47:31.679669,1711504051.679669400,,,,,,,,,,443,60366,0x0018,78782,786,
70,192.168.159.238,146.75.53.164,6,TCP,54,71,2024-03-27 02:47:31.679690,1711504051.679689700,,,,,,,,,,60366,443,0x0010,786,73422,
71,192.168.159.238,146.75.53.164,6,TCP,54,72,2024-03-27 02:47:31.679722,1711504051.679721800,,,,,,,,,,60366,443,0x0010,786,78782,
72,192.168.159.238,146.75.53.164,6,TCP,54,73,2024-03-27 02:47:31.679724,1711504051.679724300,,,,,,,,,,60366,443,0x0010,786,84142,
73,146.75.53.164,192.168.159.238,6,TLS,5414,74,2024-03-27 02:47:31.682538,1711504051.682538100,,,,,,,,,,443,60366,0x0018,84142,786,TLS_Packet_Captured
74,146.75.53.164,192.168.159.238,6,TCP,2734,75,2024-03-27 02:47:31.682538,1711504051.682538300,,,,,,,,,,443,60366,0x0010,89502,786,
75,192.168.159.238,146.75.53.164,6,TCP,54,76,2024-03-27 02:47:31.682558,1711504051.682557700,,,,,,,,,,60366,443,0x0010,786,89502,
76,192.168.159.238,146.75.53.164,6,TCP,54,77,2024-03-27 02:47:31.682590,1711504051.682589800,,,,,,,,,,60366,443,0x0010,786,92182,
77,146.75.53.164,192.168.159.238,6,TCP,2734,78,2024-03-27 02:47:31.693515,1711504051.693514900,,,,,,,,,,443,60366,0x0010,92182,786,
78,192.168.159.238,146.75.53.164,6,TCP,54,79,2024-03-27 02:47:31.693532,1711504051.693532200,,,,,,,,,,60366,443,0x0010,786,94862,
79,146.75.53.164,192.168.159.238,6,TCP,1202,80,2024-03-27 02:47:31.693856,1711504051.693856300,,,,,,,,,,443,60366,0x0018,94862,786,
80,146.75.53.164,192.168.159.238,6,TCP,5414,81,2024-03-27 02:47:31.693856,1711504051.693856400,,,,,,,,,,443,60366,0x0018,96010,786,
81,146.75.53.164,192.168.159.238,6,TLS,5414,82,2024-03-27 02:47:31.693856,1711504051.693856400,,,,,,,,,,443,60366,0x0010,101370,786,TLS_Packet_Captured
82,192.168.159.238,146.75.53.164,6,TCP,54,83,2024-03-27 02:47:31.693870,1711504051.693869900,,,,,,,,,,60366,443,0x0010,786,96010,
83,192.168.159.238,146.75.53.164,6,TCP,54,84,2024-03-27 02:47:31.693896,1711504051.693895700,,,,,,,,,,60366,443,0x0010,786,101370,
84,192.168.159.238,146.75.53.164,6,TCP,54,85,2024-03-27 02:47:31.693898,1711504051.693898100,,,,,,,,,,60366,443,0x0010,786,106730,
85,146.75.53.164,192.168.159.238,6,TCP,2734,86,2024-03-27 02:47:31.694593,1711504051.694592600,,,,,,,,,,443,60366,0x0018,106730,786,
86,146.75.53.164,192.168.159.238,6,TCP,246,87,2024-03-27 02:47:31.694593,1711504051.694592600,,,,,,,,,,443,60366,0x0010,109410,786,
