,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
86,87.248.107.206,172.20.146.77,6,TLS,13454,87,2024-03-28 01:46:22.239605,1711586782.239604700,,,,,,,,,,443,48890,0x0010,68467,753,TLS_Packet_Captured
87,172.20.146.77,87.248.107.206,6,TCP,54,88,2024-03-28 01:46:22.239612,1711586782.239612100,,,,,,,,,,48890,443,0x0010,753,81867,
88,87.248.107.206,172.20.146.77,6,TLS,5408,89,2024-03-28 01:46:22.240345,1711586782.240344800,,,,,,,,,,443,48890,0x0018,81867,753,TLS_Packet_Captured
89,87.248.107.206,172.20.146.77,6,TLS,1376,90,2024-03-28 01:46:22.240345,1711586782.240344900,,,,,,,,,,443,48890,0x0018,87221,753,TLS_Packet_Captured
90,87.248.107.206,172.20.146.77,6,TLS,1765,91,2024-03-28 01:46:22.240345,1711586782.240344900,,,,,,,,,,443,48890,0x0018,88543,753,TLS_Packet_Captured
91,87.248.107.206,172.20.146.77,6,TLS,1376,92,2024-03-28 01:46:22.240345,1711586782.240344900,,,,,,,,,,443,48890,0x0018,90254,753,TLS_Packet_Captured
92,172.20.146.77,87.248.107.206,6,TCP,54,93,2024-03-28 01:46:22.240353,1711586782.240352900,,,,,,,,,,48890,443,0x0010,753,87221,
93,172.20.146.77,87.248.107.206,6,TCP,54,94,2024-03-28 01:46:22.240356,1711586782.240356500,,,,,,,,,,48890,443,0x0010,753,88543,
94,172.20.146.77,87.248.107.206,6,TCP,54,95,2024-03-28 01:46:22.240358,1711586782.240357800,,,,,,,,,,48890,443,0x0010,753,90254,
95,172.20.146.77,87.248.107.206,6,TCP,54,96,2024-03-28 01:46:22.240359,1711586782.240359100,,,,,,,,,,48890,443,0x0010,753,91576,
96,87.248.107.206,172.20.146.77,6,TLS,1376,97,2024-03-28 01:46:22.251379,1711586782.251379600,,,,,,,,,,443,48890,0x0018,91576,753,TLS_Packet_Captured
97,87.248.107.206,172.20.146.77,6,TLS,1394,98,2024-03-28 01:46:22.251380,1711586782.251379800,,,,,,,,,,443,48890,0x0010,92898,753,TLS_Packet_Captured
98,172.20.146.77,87.248.107.206,6,TCP,54,99,2024-03-28 01:46:22.251438,1711586782.251437900,,,,,,,,,,48890,443,0x0010,753,92898,
99,172.20.146.77,87.248.107.206,6,TCP,54,100,2024-03-28 01:46:22.251458,1711586782.251457700,,,,,,,,,,48890,443,0x0010,753,94238,
100,87.248.107.206,172.20.146.77,6,TLS,12114,101,2024-03-28 01:46:22.252199,1711586782.252198700,,,,,,,,,,443,48890,0x0010,94238,753,TLS_Packet_Captured
101,172.20.146.77,87.248.107.206,6,TCP,54,102,2024-03-28 01:46:22.252215,1711586782.252214800,,,,,,,,,,48890,443,0x0010,753,106298,
102,87.248.107.206,172.20.146.77,6,TLS,10774,103,2024-03-28 01:46:22.253012,1711586782.253012200,,,,,,,,,,443,48890,0x0010,106298,753,TLS_Packet_Captured
103,172.20.146.77,87.248.107.206,6,TCP,54,104,2024-03-28 01:46:22.253027,1711586782.253027100,,,,,,,,,,48890,443,0x0010,753,117018,
104,87.248.107.206,172.20.146.77,6,TLS,2523,105,2024-03-28 01:46:22.255002,1711586782.255001700,,,,,,,,,,443,48890,0x0010,117018,753,TLS_Packet_Captured
105,172.20.146.77,87.248.107.206,6,TCP,54,106,2024-03-28 01:46:22.255040,1711586782.255039900,,,,,,,,,,48890,443,0x0010,753,119487,
106,87.248.107.206,172.20.146.77,6,TLS,6965,107,2024-03-28 01:46:22.264920,1711586782.264920500,,,,,,,,,,443,48890,0x0010,119487,753,TLS_Packet_Captured
107,87.248.107.206,172.20.146.77,6,TLS,13454,108,2024-03-28 01:46:22.264921,1711586782.264920700,,,,,,,,,,443,48890,0x0010,126398,753,TLS_Packet_Captured
108,172.20.146.77,87.248.107.206,6,TCP,54,109,2024-03-28 01:46:22.264943,1711586782.264943200,,,,,,,,,,48890,443,0x0010,753,126398,
109,172.20.146.77,87.248.107.206,6,TCP,54,110,2024-03-28 01:46:22.264981,1711586782.264980900,,,,,,,,,,48890,443,0x0010,753,139798,
110,87.248.107.206,172.20.146.77,6,TLS,2734,111,2024-03-28 01:46:22.267383,1711586782.267383100,,,,,,,,,,443,48890,0x0010,139798,753,TLS_Packet_Captured
111,172.20.146.77,87.248.107.206,6,TCP,54,112,2024-03-28 01:46:22.267401,1711586782.267401200,,,,,,,,,,48890,443,0x0010,753,142478,
112,87.248.107.206,172.20.146.77,6,TLS,1159,113,2024-03-28 01:46:22.267976,1711586782.267976400,,,,,,,,,,443,48890,0x0010,142478,753,TLS_Packet_Captured
113,87.248.107.206,172.20.146.77,6,TLS,5749,114,2024-03-28 01:46:22.267977,1711586782.267976600,,,,,,,,,,443,48890,0x0010,143583,753,TLS_Packet_Captured
114,87.248.107.206,172.20.146.77,6,TLS,4074,115,2024-03-28 01:46:22.267977,1711586782.267976600,,,,,,,,,,443,48890,0x0010,149278,753,TLS_Packet_Captured
115,172.20.146.77,87.248.107.206,6,TCP,54,116,2024-03-28 01:46:22.267992,1711586782.267992200,,,,,,,,,,48890,443,0x0010,753,143583,
116,172.20.146.77,87.248.107.206,6,TCP,54,117,2024-03-28 01:46:22.268019,1711586782.268018900,,,,,,,,,,48890,443,0x0010,753,149278,
117,172.20.146.77,87.248.107.206,6,TCP,54,118,2024-03-28 01:46:22.268032,1711586782.268032100,,,,,,,,,,48890,443,0x0010,753,153298,
118,87.248.107.206,172.20.146.77,6,TLS,3974,119,2024-03-28 01:46:22.268383,1711586782.268383200,,,,,,,,,,443,48890,0x0010,153298,753,TLS_Packet_Captured
119,87.248.107.206,172.20.146.77,6,TLS,2542,120,2024-03-28 01:46:22.268383,1711586782.268383300,,,,,,,,,,443,48890,0x0010,157218,753,TLS_Packet_Captured
120,172.20.146.77,87.248.107.206,6,TCP,54,121,2024-03-28 01:46:22.268394,1711586782.268393700,,,,,,,,,,48890,443,0x0010,753,157218,
121,172.20.146.77,87.248.107.206,6,TCP,54,122,2024-03-28 01:46:22.268397,1711586782.268396800,,,,,,,,,,48890,443,0x0010,753,159706,
122,87.248.107.206,172.20.146.77,6,TLS,2734,123,2024-03-28 01:46:22.271244,1711586782.271244000,,,,,,,,,,443,48890,0x0010,159706,753,TLS_Packet_Captured
123,172.20.146.77,87.248.107.206,6,TCP,54,124,2024-03-28 01:46:22.271262,1711586782.271262100,,,,,,,,,,48890,443,0x0010,753,162386,
