,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port
74,23.51.246.151,172.20.146.77,6,TCP,1394,75,2024-03-28 01:34:34.344733,1711586074.344733100,443,38640,0x0018,87112,822,,,,,,,,,,
75,23.51.246.151,172.20.146.77,6,TCP,2734,76,2024-03-28 01:34:34.344733,1711586074.344733100,443,38640,0x0018,88452,822,,,,,,,,,,
76,23.51.246.151,172.20.146.77,6,TCP,2734,77,2024-03-28 01:34:34.344733,1711586074.344733100,443,38640,0x0018,91132,822,,,,,,,,,,
77,172.20.146.77,23.51.246.151,6,TCP,54,78,2024-03-28 01:34:34.344747,1711586074.344746700,38640,443,0x0010,822,87112,,,,,,,,,,
78,172.20.146.77,23.51.246.151,6,TCP,54,79,2024-03-28 01:34:34.344754,1711586074.344753700,38640,443,0x0010,822,88452,,,,,,,,,,
79,172.20.146.77,23.51.246.151,6,TCP,54,80,2024-03-28 01:34:34.344755,1711586074.344755200,38640,443,0x0010,822,91132,,,,,,,,,,
80,172.20.146.77,23.51.246.151,6,TCP,54,81,2024-03-28 01:34:34.344757,1711586074.344756600,38640,443,0x0010,822,93812,,,,,,,,,,
81,23.51.246.151,172.20.146.77,6,TCP,2734,82,2024-03-28 01:34:34.345410,1711586074.345410400,443,38640,0x0018,93812,822,,,,,,,,,,
82,23.51.246.151,172.20.146.77,6,TCP,2734,83,2024-03-28 01:34:34.345411,1711586074.345410500,443,38640,0x0018,96492,822,,,,,,,,,,
83,23.51.246.151,172.20.146.77,6,TCP,2734,84,2024-03-28 01:34:34.345411,1711586074.345410500,443,38640,0x0018,99172,822,,,,,,,,,,
84,23.51.246.151,172.20.146.77,6,TLS,2734,85,2024-03-28 01:34:34.345411,1711586074.345410500,443,38640,0x0018,101852,822,TLS_Packet_Captured,,,,,,,,,
85,172.20.146.77,23.51.246.151,6,TCP,54,86,2024-03-28 01:34:34.345443,1711586074.345443400,38640,443,0x0010,822,96492,,,,,,,,,,
86,172.20.146.77,23.51.246.151,6,TCP,54,87,2024-03-28 01:34:34.345446,1711586074.345446300,38640,443,0x0010,822,99172,,,,,,,,,,
87,172.20.146.77,23.51.246.151,6,TCP,54,88,2024-03-28 01:34:34.345448,1711586074.345447700,38640,443,0x0010,822,101852,,,,,,,,,,
88,172.20.146.77,23.51.246.151,6,TCP,54,89,2024-03-28 01:34:34.345449,1711586074.345448900,38640,443,0x0010,822,104532,,,,,,,,,,
89,23.51.246.151,172.20.146.77,6,TCP,2734,90,2024-03-28 01:34:34.345623,1711586074.345622500,443,38640,0x0018,104532,822,,,,,,,,,,
90,172.20.146.77,23.51.246.151,6,TCP,54,91,2024-03-28 01:34:34.345627,1711586074.345626600,38640,443,0x0010,822,107212,,,,,,,,,,
91,23.51.246.151,172.20.146.77,6,TCP,2734,92,2024-03-28 01:34:34.348524,1711586074.348524400,443,38640,0x0018,107212,822,,,,,,,,,,
92,172.20.146.77,23.51.246.151,6,TCP,54,93,2024-03-28 01:34:34.348541,1711586074.348541200,38640,443,0x0010,822,109892,,,,,,,,,,
93,23.51.246.151,172.20.146.77,6,TCP,2734,94,2024-03-28 01:34:34.348883,1711586074.348883100,443,38640,0x0018,109892,822,,,,,,,,,,
94,23.51.246.151,172.20.146.77,6,TCP,2734,95,2024-03-28 01:34:34.348883,1711586074.348883300,443,38640,0x0018,112572,822,,,,,,,,,,
95,23.51.246.151,172.20.146.77,6,TCP,1394,96,2024-03-28 01:34:34.348883,1711586074.348883300,443,38640,0x0010,115252,822,,,,,,,,,,
96,172.20.146.77,23.51.246.151,6,TCP,54,97,2024-03-28 01:34:34.348898,1711586074.348898500,38640,443,0x0010,822,112572,,,,,,,,,,
97,172.20.146.77,23.51.246.151,6,TCP,54,98,2024-03-28 01:34:34.348906,1711586074.348906100,38640,443,0x0010,822,115252,,,,,,,,,,
98,172.20.146.77,23.51.246.151,6,TCP,54,99,2024-03-28 01:34:34.348908,1711586074.348908000,38640,443,0x0010,822,116592,,,,,,,,,,
99,23.51.246.151,172.20.146.77,6,TCP,1394,100,2024-03-28 01:34:34.348926,1711586074.348926200,443,38640,0x0018,116592,822,,,,,,,,,,
100,172.20.146.77,23.51.246.151,6,TCP,54,101,2024-03-28 01:34:34.348929,1711586074.348928600,38640,443,0x0010,822,117932,,,,,,,,,,
101,23.51.246.151,172.20.146.77,6,TLS,4074,102,2024-03-28 01:34:34.361346,1711586074.361345800,443,38640,0x0018,117932,822,TLS_Packet_Captured,,,,,,,,,
102,23.51.246.151,172.20.146.77,6,TCP,1394,103,2024-03-28 01:34:34.361346,1711586074.361346000,443,38640,0x0010,121952,822,,,,,,,,,,
103,172.20.146.77,23.51.246.151,6,TCP,54,104,2024-03-28 01:34:34.361364,1711586074.361364300,38640,443,0x0010,822,121952,,,,,,,,,,
104,172.20.146.77,23.51.246.151,6,TCP,54,105,2024-03-28 01:34:34.361373,1711586074.361372900,38640,443,0x0010,822,123292,,,,,,,,,,
105,23.51.246.151,172.20.146.77,6,TCP,1394,106,2024-03-28 01:34:34.361442,1711586074.361441500,443,38640,0x0018,123292,822,,,,,,,,,,
106,23.51.246.151,172.20.146.77,6,TCP,1394,107,2024-03-28 01:34:34.361442,1711586074.361441700,443,38640,0x0010,124632,822,,,,,,,,,,
107,172.20.146.77,23.51.246.151,6,TCP,54,108,2024-03-28 01:34:34.361447,1711586074.361446700,38640,443,0x0010,822,124632,,,,,,,,,,
108,172.20.146.77,23.51.246.151,6,TCP,54,109,2024-03-28 01:34:34.361449,1711586074.361448800,38640,443,0x0010,822,125972,,,,,,,,,,
109,23.51.246.151,172.20.146.77,6,TCP,1394,110,2024-03-28 01:34:34.364994,1711586074.364994100,443,38640,0x0018,125972,822,,,,,,,,,,
110,23.51.246.151,172.20.146.77,6,TLS,2734,111,2024-03-28 01:34:34.364994,1711586074.364994200,443,38640,0x0018,127312,822,TLS_Packet_Captured,,,,,,,,,
111,23.51.246.151,172.20.146.77,6,TCP,4074,112,2024-03-28 01:34:34.364994,1711586074.364994200,443,38640,0x0018,129992,822,,,,,,,,,,
112,23.51.246.151,172.20.146.77,6,TLS,2734,113,2024-03-28 01:34:34.364994,1711586074.364994200,443,38640,0x0010,134012,822,TLS_Packet_Captured,,,,,,,,,
113,172.20.146.77,23.51.246.151,6,TCP,54,114,2024-03-28 01:34:34.365020,1711586074.365020000,38640,443,0x0010,822,127312,,,,,,,,,,
114,172.20.146.77,23.51.246.151,6,TCP,54,115,2024-03-28 01:34:34.365033,1711586074.365032600,38640,443,0x0010,822,129992,,,,,,,,,,
115,172.20.146.77,23.51.246.151,6,TCP,54,116,2024-03-28 01:34:34.365184,1711586074.365184000,38640,443,0x0010,822,134012,,,,,,,,,,
116,172.20.146.77,23.51.246.151,6,TCP,54,117,2024-03-28 01:34:34.365188,1711586074.365187900,38640,443,0x0010,822,136692,,,,,,,,,,
117,23.51.246.151,172.20.146.77,6,TCP,1394,118,2024-03-28 01:34:34.366110,1711586074.366109800,443,38640,0x0018,136692,822,,,,,,,,,,
118,23.51.246.151,172.20.146.77,6,TCP,2734,119,2024-03-28 01:34:34.366110,1711586074.366109900,443,38640,0x0010,138032,822,,,,,,,,,,
119,23.51.246.151,172.20.146.77,6,TCP,238,120,2024-03-28 01:34:34.366110,1711586074.366109900,443,38640,0x0018,142052,822,,,,,,,,,,
120,23.51.246.151,172.20.146.77,6,TCP,1394,121,2024-03-28 01:34:34.366110,1711586074.366110000,443,38640,0x0010,140712,822,,,,,,,,,,
